nm,CIE 1924 - V(lbd) ,CIE 1951 - V'(lbd),CIE 1931 - x2,CIE 1931 - y2,CIE 1931 - z2,CIE 1964 - x10,CIE 1964 - y10,CIE 1964 - z10
561,0.99260050000000000000,0.31510000000000000000,0.611220900000,0.992600500000,0.003623200000,0.72277300000000000000,0.99526000000000000000,0.00000000000000000000
562,0.98974260000000000000,0.30180000000000000000,0.627975800000,0.989742600000,0.003370600000,0.74048300000000000000,0.99274000000000000000,0.00000000000000000000
563,0.98644440000000000000,0.28880000000000000000,0.644760200000,0.986444400000,0.003141400000,0.75827300000000000000,0.98975000000000000000,0.00000000000000000000
564,0.98272410000000000000,0.27620000000000000000,0.661569700000,0.982724100000,0.002934800000,0.77608300000000000000,0.98630000000000000000,0.00000000000000000000
565,0.97860000000000000000,0.26390000000000000000,0.678400000000,0.978600000000,0.002749999000,0.79383200000000000000,0.98238000000000000000,0.00000000000000000000
566,0.97408370000000000000,0.25190000000000000000,0.695239200000,0.974083700000,0.002585200000,0.81143600000000000000,0.97798000000000000000,0.00000000000000000000
567,0.96917120000000000000,0.24030000000000000000,0.712058600000,0.969171200000,0.002438600000,0.82882200000000000000,0.97311000000000000000,0.00000000000000000000
568,0.96385680000000000000,0.22910000000000000000,0.728828400000,0.963856800000,0.002309400000,0.84587900000000000000,0.96774000000000000000,0.00000000000000000000
569,0.95813490000000000000,0.21820000000000000000,0.745518800000,0.958134900000,0.002196800000,0.86252500000000000000,0.96189000000000000000,0.00000000000000000000
570,0.95200000000000000000,0.20760000000000000000,0.762100000000,0.952000000000,0.002100000000,0.87865500000000000000,0.95555200000000000000,0.00000000000000000000
571,0.94545040000000000000,0.19740000000000000000,0.778543200000,0.945450400000,0.002017733000,0.89420800000000000000,0.94860100000000000000,0.00000000000000000000
572,0.93849920000000000000,0.18760000000000000000,0.794825600000,0.938499200000,0.001948200000,0.90920600000000000000,0.94098100000000000000,0.00000000000000000000
573,0.93116280000000000000,0.17820000000000000000,0.810926400000,0.931162800000,0.001889800000,0.92367200000000000000,0.93279800000000000000,0.00000000000000000000
574,0.92345760000000000000,0.16900000000000000000,0.826824800000,0.923457600000,0.001840933000,0.93763800000000000000,0.92415800000000000000,0.00000000000000000000
575,0.91540000000000000000,0.16020000000000000000,0.842500000000,0.915400000000,0.001800000000,0.95116200000000000000,0.91517500000000000000,0.00000000000000000000
576,0.90700640000000000000,0.15170000000000000000,0.857932500000,0.907006400000,0.001766267000,0.96428300000000000000,0.90595400000000000000,0.00000000000000000000
577,0.89827720000000000000,0.14360000000000000000,0.873081600000,0.898277200000,0.001737800000,0.97706800000000000000,0.89660800000000000000,0.00000000000000000000
578,0.88920480000000000000,0.13580000000000000000,0.887894400000,0.889204800000,0.001711200000,0.98959000000000000000,0.88724900000000000000,0.00000000000000000000
579,0.87978160000000000000,0.12840000000000000000,0.902318100000,0.879781600000,0.001683067000,1.00191000000000000000,0.87798600000000000000,0.00000000000000000000
580,0.87000000000000000000,0.12120000000000000000,0.916300000000,0.870000000000,0.001650001000,1.01416000000000000000,0.86893400000000000000,0.00000000000000000000
581,0.85986130000000000000,0.11430000000000000000,0.929799500000,0.859861300000,0.001610133000,1.02650000000000000000,0.86016400000000000000,0.00000000000000000000
582,0.84939200000000000000,0.10780000000000000000,0.942798400000,0.849392000000,0.001564400000,1.03880000000000000000,0.85151900000000000000,0.00000000000000000000
583,0.83862200000000000000,0.10150000000000000000,0.955277600000,0.838622000000,0.001513600000,1.05100000000000000000,0.84296300000000000000,0.00000000000000000000
584,0.82758130000000000000,0.09560000000000000000,0.967217900000,0.827581300000,0.001458533000,1.06290000000000000000,0.83439300000000000000,0.00000000000000000000
585,0.81630000000000000000,0.08990000000000000000,0.978600000000,0.816300000000,0.001400000000,1.07430000000000000000,0.82562300000000000000,0.00000000000000000000
586,0.80479470000000000000,0.08450000000000000000,0.989385600000,0.804794700000,0.001336667000,1.08520000000000000000,0.81676400000000000000,0.00000000000000000000
587,0.79308200000000000000,0.07930000000000000000,0.999548800000,0.793082000000,0.001270000000,1.09520000000000000000,0.80754400000000000000,0.00000000000000000000
588,0.78119200000000000000,0.07450000000000000000,1.009089200000,0.781192000000,0.001205000000,1.10420000000000000000,0.79794700000000000000,0.00000000000000000000
