nm,S-cone-opic,M-cone-opic,L-cone-opic,rhodopic,melanopic
726,0.00E+00,4.89E-05,7.65E-04,3.27E-06,4.60E-07
727,0.00E+00,4.56E-05,7.11E-04,3.07E-06,4.33E-07
728,0.00E+00,4.25E-05,6.62E-04,2.88E-06,4.07E-07
729,0.00E+00,3.97E-05,6.16E-04,2.71E-06,3.82E-07
730,0.00E+00,3.70E-05,5.73E-04,2.55E-06,3.60E-07
731,0.00E+00,3.46E-05,5.33E-04,2.39E-06,3.39E-07
732,0.00E+00,3.23E-05,4.96E-04,2.25E-06,3.18E-07
733,0.00E+00,3.01E-05,4.62E-04,2.12E-06,3.00E-07
734,0.00E+00,2.81E-05,4.30E-04,1.99E-06,2.82E-07
735,0.00E+00,2.62E-05,4.00E-04,1.87E-06,2.65E-07
736,0.00E+00,2.45E-05,3.72E-04,1.76E-06,2.50E-07
737,0.00E+00,2.28E-05,3.46E-04,1.66E-06,2.35E-07
738,0.00E+00,2.13E-05,3.21E-04,1.56E-06,2.22E-07
739,0.00E+00,1.99E-05,2.99E-04,1.47E-06,2.09E-07
740,0.00E+00,1.86E-05,2.79E-04,1.38E-06,1.97E-07
741,0.00E+00,1.74E-05,2.60E-04,1.30E-06,1.85E-07
742,0.00E+00,1.63E-05,2.42E-04,1.22E-06,1.75E-07
743,0.00E+00,1.53E-05,2.26E-04,1.15E-06,1.65E-07
744,0.00E+00,1.43E-05,2.11E-04,1.08E-06,1.55E-07
745,0.00E+00,1.34E-05,1.97E-04,1.02E-06,1.46E-07
746,0.00E+00,1.25E-05,1.83E-04,9.62E-07,1.38E-07
747,0.00E+00,1.17E-05,1.71E-04,9.07E-07,1.30E-07
748,0.00E+00,1.10E-05,1.59E-04,8.55E-07,1.23E-07
749,0.00E+00,1.03E-05,1.49E-04,8.06E-07,1.16E-07
750,0.00E+00,9.63E-06,1.38E-04,7.60E-07,1.09E-07
751,0.00E+00,9.02E-06,1.29E-04,7.16E-07,1.03E-07
